# QIGOA reality-check | script=run_exact_check.py | experiment=main | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T09:10:26
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# E1 gate: |f_DP - f_brute| <= tol AND identical induced mask after canonicalisation (prereg A5a).
patient_id,target,include_zero_bg,k,f_dp,f_brute,abs_diff,rel_diff,thr_dp,thr_brute,thr_identical,mask_hash_dp,mask_hash_brute,mask_identical,labelmap_identical,t_dp_s,t_brute_s,brute_over_dp,pass,data_source,placeholder
BraTS20_Training_001,wt_flair,true,2,9.0765340021304546,9.0765340021304546,0.000e+00,0.000e+00,127|183,127|183,1,15522f507c632015842f2f216fcd0cf0b9a59bb835669a92bd2de5e8c12a6f9d,15522f507c632015842f2f216fcd0cf0b9a59bb835669a92bd2de5e8c12a6f9d,1,1,0.160156,0.259854,1.62,1,brats,0
BraTS20_Training_001,wt_flair,true,3,12.284573958242412,12.284573958242412,0.000e+00,0.000e+00,1|85|148,1|85|148,1,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,1,1,0.246066,26.136845,106.22,1,brats,0
BraTS20_Training_001,wt_flair,false,2,12.284573958242373,12.284573958242373,0.000e+00,0.000e+00,85|148,85|148,1,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,1,1,0.162957,0.256983,1.58,1,brats,0
BraTS20_Training_001,wt_flair,false,3,15.359975526375923,15.359975526375923,0.000e+00,0.000e+00,85|139|189,85|139|189,1,aaeeed4c803a9b86e30b2f4d1cff187f57e1d1fede26bea5147d07909fbef628,aaeeed4c803a9b86e30b2f4d1cff187f57e1d1fede26bea5147d07909fbef628,1,1,0.237628,25.986825,109.36,1,brats,0
BraTS20_Training_001,et_t1ce,true,2,8.6516755302454573,8.6516755302454573,0.000e+00,0.000e+00,1|125,1|125,1,349f72fc014683ffea5216842e91728ba4705d69c7e09b8f8262fd009cb37fcc,349f72fc014683ffea5216842e91728ba4705d69c7e09b8f8262fd009cb37fcc,1,1,0.155256,0.203753,1.31,1,brats,0
BraTS20_Training_001,et_t1ce,true,3,11.948892765897588,11.948892765897588,0.000e+00,0.000e+00,1|109|175,1|109|175,1,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,1,1,0.235421,18.948737,80.49,1,brats,0
BraTS20_Training_001,et_t1ce,false,2,11.948892765897613,11.948892765897613,0.000e+00,0.000e+00,109|175,109|175,1,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,1,1,0.159207,0.208883,1.31,1,brats,0
BraTS20_Training_001,et_t1ce,false,3,14.94821915710326,14.94821915710326,0.000e+00,0.000e+00,97|140|190,97|140|190,1,e9557b176be9523e67b26aadf10a14a5f50a0d663e91678fd6c7c75dd1fcbbf2,e9557b176be9523e67b26aadf10a14a5f50a0d663e91678fd6c7c75dd1fcbbf2,1,1,0.232456,18.867146,81.16,1,brats,0
BraTS20_Training_002,wt_flair,true,2,8.7787112345007401,8.7787112345007401,0.000e+00,0.000e+00,1|93,1|93,1,1960db36b088a3abe0a025ef37cd1eb9b3ea2d11ffe2dc036c8d3a8f50512b45,1960db36b088a3abe0a025ef37cd1eb9b3ea2d11ffe2dc036c8d3a8f50512b45,1,1,0.164294,0.269648,1.64,1,brats,0
BraTS20_Training_002,wt_flair,true,3,12.286702195520295,12.286702195520295,0.000e+00,0.000e+00,1|91|163,1|91|163,1,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,1,1,0.238718,27.405415,114.80,1,brats,0
BraTS20_Training_002,wt_flair,false,2,12.286702195520064,12.286702195520064,0.000e+00,0.000e+00,91|163,91|163,1,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,1,1,0.158407,0.261020,1.65,1,brats,0
BraTS20_Training_002,wt_flair,false,3,15.264317508911592,15.264317508911592,0.000e+00,0.000e+00,59|98|165,59|98|165,1,7be4a71c102c6ba17400fbc4d1f121c2dc060fc2c0aa28c5ae07603fab262ca6,7be4a71c102c6ba17400fbc4d1f121c2dc060fc2c0aa28c5ae07603fab262ca6,1,1,0.242026,27.144129,112.15,1,brats,0
BraTS20_Training_002,et_t1ce,true,2,8.6220248753206103,8.6220248753206103,0.000e+00,0.000e+00,1|128,1|128,1,7d1f99923409d073708f5209e15d4ef766d23832212502c37434371767e41d19,7d1f99923409d073708f5209e15d4ef766d23832212502c37434371767e41d19,1,1,0.160539,0.192794,1.20,1,brats,0
BraTS20_Training_002,et_t1ce,true,3,11.935100691026927,11.935100691026927,0.000e+00,0.000e+00,1|115|180,1|115|180,1,2f8a85f63c524c732dc3a7baa2a3d15f8c72f6d8c936b71b0dd0068cadff6f85,2f8a85f63c524c732dc3a7baa2a3d15f8c72f6d8c936b71b0dd0068cadff6f85,1,1,0.239445,17.438987,72.83,1,brats,0
BraTS20_Training_002,et_t1ce,false,2,11.935100691026703,11.935100691026703,0.000e+00,0.000e+00,115|180,115|180,1,2f8a85f63c524c732dc3a7baa2a3d15f8c72f6d8c936b71b0dd0068cadff6f85,2f8a85f63c524c732dc3a7baa2a3d15f8c72f6d8c936b71b0dd0068cadff6f85,1,1,0.160280,0.192600,1.20,1,brats,0
BraTS20_Training_002,et_t1ce,false,3,14.900038140363728,14.900038140363728,0.000e+00,0.000e+00,112|155|200,112|155|200,1,95f0aa208ff43135d8748def41e4ae6526074c97d21402218d96e6771e3eec15,95f0aa208ff43135d8748def41e4ae6526074c97d21402218d96e6771e3eec15,1,1,0.234610,17.312518,73.79,1,brats,0
BraTS20_Training_003,wt_flair,true,2,9.1387090908253548,9.1387090908253548,0.000e+00,0.000e+00,1|138,1|138,1,f4491ab9e74726596fd69dc513477a50fe2b98eb00b1648138a775696a711779,f4491ab9e74726596fd69dc513477a50fe2b98eb00b1648138a775696a711779,1,1,0.158405,0.258210,1.63,1,brats,0
BraTS20_Training_003,wt_flair,true,3,12.46689400032033,12.46689400032033,0.000e+00,0.000e+00,1|86|142,1|86|142,1,9069222eeffbcc1110dc457bcb6b140999aef13e3f45c954a56d1902422106a3,9069222eeffbcc1110dc457bcb6b140999aef13e3f45c954a56d1902422106a3,1,1,0.241050,27.107966,112.46,1,brats,0
BraTS20_Training_003,wt_flair,false,2,12.466894000319941,12.466894000319941,0.000e+00,0.000e+00,86|142,86|142,1,9069222eeffbcc1110dc457bcb6b140999aef13e3f45c954a56d1902422106a3,9069222eeffbcc1110dc457bcb6b140999aef13e3f45c954a56d1902422106a3,1,1,0.158743,0.256239,1.61,1,brats,0
BraTS20_Training_003,wt_flair,false,3,15.553906168008279,15.553906168008279,0.000e+00,0.000e+00,86|142|196,86|142|196,1,f057b74bc47b4104c85aa959850810cb7c0aed14600212b34fb8f88019c0f924,f057b74bc47b4104c85aa959850810cb7c0aed14600212b34fb8f88019c0f924,1,1,0.237640,26.751112,112.57,1,brats,0
BraTS20_Training_003,et_t1ce,true,2,8.8866684602758745,8.8866684602758745,0.000e+00,0.000e+00,1|158,1|158,1,4d1f4f01acf1101428bb9f2237eb97d549dca751d5b0b6473c8d5456de2ef80d,4d1f4f01acf1101428bb9f2237eb97d549dca751d5b0b6473c8d5456de2ef80d,1,1,0.157048,0.196832,1.25,1,brats,0
BraTS20_Training_003,et_t1ce,true,3,12.116159245360882,12.116159245360882,0.000e+00,0.000e+00,1|122|174,1|122|174,1,07f75c68d1b945294150b3013d952a04ad8b269e678612acdd867e5865ddbf73,07f75c68d1b945294150b3013d952a04ad8b269e678612acdd867e5865ddbf73,1,1,0.232878,17.415312,74.78,1,brats,0
BraTS20_Training_003,et_t1ce,false,2,12.116159245360514,12.116159245360514,0.000e+00,0.000e+00,122|174,122|174,1,07f75c68d1b945294150b3013d952a04ad8b269e678612acdd867e5865ddbf73,07f75c68d1b945294150b3013d952a04ad8b269e678612acdd867e5865ddbf73,1,1,0.156425,0.194864,1.25,1,brats,0
BraTS20_Training_003,et_t1ce,false,3,15.170643405371619,15.170643405371619,0.000e+00,0.000e+00,108|158|201,108|158|201,1,69e88ecee189f5af3164543851baa3bd8b18902b1a1d41005f2e1a9c79a39130,69e88ecee189f5af3164543851baa3bd8b18902b1a1d41005f2e1a9c79a39130,1,1,0.235781,17.272722,73.26,1,brats,0
BraTS20_Training_004,wt_flair,true,2,9.1384482718584472,9.1384482718584472,0.000e+00,0.000e+00,120|177,120|177,1,8f5bf143ac0f40d3ca301c4d6d02ad0de64e988a351f7dbb965abbcdd5e2aa66,8f5bf143ac0f40d3ca301c4d6d02ad0de64e988a351f7dbb965abbcdd5e2aa66,1,1,0.161768,0.276474,1.71,1,brats,0
BraTS20_Training_004,wt_flair,true,3,12.106467938475586,12.106467938475586,0.000e+00,0.000e+00,1|55|120,1|55|120,1,b284453c7766db6d0818a1bad400a2c16493e3bfe87668c3f2d7dd3c47c05490,b284453c7766db6d0818a1bad400a2c16493e3bfe87668c3f2d7dd3c47c05490,1,1,0.237321,29.828072,125.69,1,brats,0
BraTS20_Training_004,wt_flair,false,2,12.106467938475024,12.106467938475024,0.000e+00,0.000e+00,55|120,55|120,1,b284453c7766db6d0818a1bad400a2c16493e3bfe87668c3f2d7dd3c47c05490,b284453c7766db6d0818a1bad400a2c16493e3bfe87668c3f2d7dd3c47c05490,1,1,0.159429,0.273403,1.71,1,brats,0
BraTS20_Training_004,wt_flair,false,3,15.215680841962207,15.215680841962207,0.000e+00,0.000e+00,55|123|177,55|123|177,1,8f5bf143ac0f40d3ca301c4d6d02ad0de64e988a351f7dbb965abbcdd5e2aa66,8f5bf143ac0f40d3ca301c4d6d02ad0de64e988a351f7dbb965abbcdd5e2aa66,1,1,0.237280,31.548217,132.96,1,brats,0
BraTS20_Training_004,et_t1ce,true,2,8.8115502730169766,8.8115502730169766,0.000e+00,0.000e+00,1|115,1|115,1,8cd62c561fb618ec242ba8028b40344b6a7acf4788caa8a722cc8aeb7b7ae23a,8cd62c561fb618ec242ba8028b40344b6a7acf4788caa8a722cc8aeb7b7ae23a,1,1,0.206947,0.277385,1.34,1,brats,0
BraTS20_Training_004,et_t1ce,true,3,12.25563886863524,12.25563886863524,0.000e+00,0.000e+00,1|115|178,1|115|178,1,4a46d9006113913bed0d634f57137152de203a1b4cd4254d3c2edc040dfa1fa8,4a46d9006113913bed0d634f57137152de203a1b4cd4254d3c2edc040dfa1fa8,1,1,0.310233,21.839447,70.40,1,brats,0
BraTS20_Training_004,et_t1ce,false,2,12.25563886863447,12.25563886863447,0.000e+00,0.000e+00,115|178,115|178,1,4a46d9006113913bed0d634f57137152de203a1b4cd4254d3c2edc040dfa1fa8,4a46d9006113913bed0d634f57137152de203a1b4cd4254d3c2edc040dfa1fa8,1,1,0.156299,0.219782,1.41,1,brats,0
BraTS20_Training_004,et_t1ce,false,3,15.281491777303682,15.281491777303682,0.000e+00,0.000e+00,109|154|203,109|154|203,1,619be5052ba60f11d39d742050d6397e580c8ec17e7506e4b59fb306b00140ab,619be5052ba60f11d39d742050d6397e580c8ec17e7506e4b59fb306b00140ab,1,1,0.235989,20.973697,88.88,1,brats,0
BraTS20_Training_005,wt_flair,true,2,8.9344748469247826,8.9344748469247826,0.000e+00,0.000e+00,1|91,1|91,1,34bca1d30f201f9eaf12583ef54b735ff8d0fde0361068ed7fbcbe03b0cadc27,34bca1d30f201f9eaf12583ef54b735ff8d0fde0361068ed7fbcbe03b0cadc27,1,1,0.159626,0.278284,1.74,1,brats,0
BraTS20_Training_005,wt_flair,true,3,12.313752351540067,12.313752351540067,0.000e+00,0.000e+00,1|91|165,1|91|165,1,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,1,1,0.236469,30.068472,127.16,1,brats,0
BraTS20_Training_005,wt_flair,false,2,12.313752351540188,12.313752351540188,0.000e+00,0.000e+00,91|165,91|165,1,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,1,1,0.159539,0.277720,1.74,1,brats,0
BraTS20_Training_005,wt_flair,false,3,15.340679205211277,15.340679205211277,0.000e+00,0.000e+00,61|103|165,61|103|165,1,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,d0e5259ea1c42c510cacbe69b43a99694e2932a9312e62325f1727fe48a570e2,1,1,0.235868,30.020905,127.28,1,brats,0
BraTS20_Training_005,et_t1ce,true,2,8.7522316992587097,8.7522316992587097,0.000e+00,0.000e+00,1|154,1|154,1,3bd147cf6da23ef450329a18b06a916b4aa07005d894bd47f817a69d390595a4,3bd147cf6da23ef450329a18b06a916b4aa07005d894bd47f817a69d390595a4,1,1,0.158360,0.197829,1.25,1,brats,0
BraTS20_Training_005,et_t1ce,true,3,11.9940778579581,11.9940778579581,0.000e+00,0.000e+00,1|111|173,1|111|173,1,ea0d368486722aa7aab13963e00306316f8399b87f62856cb5da563029d6c163,ea0d368486722aa7aab13963e00306316f8399b87f62856cb5da563029d6c163,1,1,0.236203,18.154313,76.86,1,brats,0
BraTS20_Training_005,et_t1ce,false,2,11.994077857957882,11.994077857957882,0.000e+00,0.000e+00,111|173,111|173,1,ea0d368486722aa7aab13963e00306316f8399b87f62856cb5da563029d6c163,ea0d368486722aa7aab13963e00306316f8399b87f62856cb5da563029d6c163,1,1,0.157454,0.197832,1.26,1,brats,0
BraTS20_Training_005,et_t1ce,false,3,14.984353795193691,14.984353795193691,0.000e+00,0.000e+00,108|154|194,108|154|194,1,2b1b838d3c4b7aef6ff19c300571e8423da0f3251268a294a15aeffb376b4569,2b1b838d3c4b7aef6ff19c300571e8423da0f3251268a294a15aeffb376b4569,1,1,0.236110,18.182309,77.01,1,brats,0
BraTS20_Training_006,wt_flair,true,2,9.0671364167783004,9.0671364167783004,0.000e+00,0.000e+00,121|174,121|174,1,4607ce1749e29665b4d5fd862b3e2257eb1c82d1583e4290e670fcb4264bdce3,4607ce1749e29665b4d5fd862b3e2257eb1c82d1583e4290e670fcb4264bdce3,1,1,0.161703,0.288344,1.78,1,brats,0
BraTS20_Training_006,wt_flair,true,3,12.379453608044457,12.379453608044457,0.000e+00,0.000e+00,1|68|132,1|68|132,1,9beba4503149194cf42877718afddfd97dad492d7cfd52c6f341d184e6b470f0,9beba4503149194cf42877718afddfd97dad492d7cfd52c6f341d184e6b470f0,1,1,0.239740,33.927121,141.52,1,brats,0
BraTS20_Training_006,wt_flair,false,2,12.379453608044489,12.379453608044489,0.000e+00,0.000e+00,68|132,68|132,1,9beba4503149194cf42877718afddfd97dad492d7cfd52c6f341d184e6b470f0,9beba4503149194cf42877718afddfd97dad492d7cfd52c6f341d184e6b470f0,1,1,0.158793,0.285825,1.80,1,brats,0
BraTS20_Training_006,wt_flair,false,3,15.451506504016164,15.451506504016164,0.000e+00,0.000e+00,68|128|178,68|128|178,1,0aa62477e888dadc562877476d6e62a97a92059410fb1ae971d969d2c4b063e1,0aa62477e888dadc562877476d6e62a97a92059410fb1ae971d969d2c4b063e1,1,1,0.239450,31.261550,130.56,1,brats,0
BraTS20_Training_006,et_t1ce,true,2,8.9439810597086336,8.9439810597086336,0.000e+00,0.000e+00,1|148,1|148,1,0616d6adc4dd0f37ab71be2c6b16e5679b4571fc03c6b090584b1b3bcba7db6f,0616d6adc4dd0f37ab71be2c6b16e5679b4571fc03c6b090584b1b3bcba7db6f,1,1,0.157942,0.207127,1.31,1,brats,0
BraTS20_Training_006,et_t1ce,true,3,12.135381588084126,12.135381588084126,0.000e+00,0.000e+00,1|134|188,1|134|188,1,5b8fe1af60e559f1029e50810e164a2ea12c9e69f905ae5d1064f550ffe1c1c4,5b8fe1af60e559f1029e50810e164a2ea12c9e69f905ae5d1064f550ffe1c1c4,1,1,0.238554,19.237020,80.64,1,brats,0
BraTS20_Training_006,et_t1ce,false,2,12.135381588084039,12.135381588084039,0.000e+00,0.000e+00,134|188,134|188,1,5b8fe1af60e559f1029e50810e164a2ea12c9e69f905ae5d1064f550ffe1c1c4,5b8fe1af60e559f1029e50810e164a2ea12c9e69f905ae5d1064f550ffe1c1c4,1,1,0.160733,0.208015,1.29,1,brats,0
BraTS20_Training_006,et_t1ce,false,3,15.133735066995701,15.133735066995701,0.000e+00,0.000e+00,100|148|195,100|148|195,1,1c07c31db95fd1e223d8dd129257b08a329018b3944fc63b976c2bd6aa69071d,1c07c31db95fd1e223d8dd129257b08a329018b3944fc63b976c2bd6aa69071d,1,1,0.240860,19.489965,80.92,1,brats,0
BraTS20_Training_007,wt_flair,true,2,8.8006038601343306,8.8006038601343306,0.000e+00,0.000e+00,1|85,1|85,1,9446477354a98c1bad29c7ca09ba9bd98c2d2f49d90e3dd0d1e0811a4e5ba576,9446477354a98c1bad29c7ca09ba9bd98c2d2f49d90e3dd0d1e0811a4e5ba576,1,1,0.162709,0.284032,1.75,1,brats,0
BraTS20_Training_007,wt_flair,true,3,12.309024297989176,12.309024297989176,0.000e+00,0.000e+00,1|80|150,1|80|150,1,b4633c53496141f3d00642c5f27c5ff10bff374c68f4730c1f241432c2d51db4,b4633c53496141f3d00642c5f27c5ff10bff374c68f4730c1f241432c2d51db4,1,1,0.241632,31.088606,128.66,1,brats,0
BraTS20_Training_007,wt_flair,false,2,12.309024297989069,12.309024297989069,0.000e+00,0.000e+00,80|150,80|150,1,b4633c53496141f3d00642c5f27c5ff10bff374c68f4730c1f241432c2d51db4,b4633c53496141f3d00642c5f27c5ff10bff374c68f4730c1f241432c2d51db4,1,1,0.160145,0.282246,1.76,1,brats,0
