# QIGOA reality-check | script=run_stats.py | experiment=main | data_source=brats | commit=a8a8ec698d101c26b034335bebe3e976c65f165e | generated=2026-07-23T03:44:29
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,method,reference,n_patients,mean_diff,ci90_low,ci90_high,delta_ach,equivalence_holds_for_any_sesoi_ge,placeholder,tost_p_delta0.01,tost_p_delta0.05
C-equivalence,et_t1ce,false,4,brightest,GA,DP-exact,368,-0.004200477806351126,-0.006600375104110181,-0.0018005805085920712,0.006600375104110181,0.006600375104110181,0,4.071296051312529e-05,1.4251993943493718e-106
C-equivalence,et_t1ce,false,4,brightest,GOA,DP-exact,368,-0.002901266092628286,-0.006057748703695584,0.0002552165184390117,0.006057748703695584,0.006057748703695584,0,0.00012033712642365254,5.820558566836519e-80
C-equivalence,et_t1ce,false,4,brightest,GOA-fixed,DP-exact,368,-0.0006649721955849423,-0.0030010248807937475,0.001671080489623863,0.0030010248807937475,0.0030010248807937475,0,7.6716504401565e-11,1.1148214797845643e-118
C-equivalence,et_t1ce,false,4,brightest,GWO,DP-exact,368,-0.0013707018292269614,-0.0027857187544949305,4.431509604100768e-05,0.0027857187544949305,0.0027857187544949305,0,1.7820838651337576e-21,7.10099538048946e-184
C-equivalence,et_t1ce,false,4,brightest,MPA,DP-exact,368,0.00038986828195965563,-0.0013003890679690621,0.002080125631888373,0.002080125631888373,0.002080125631888373,0,3.6191764290898715e-19,1.0713252335919913e-161
C-equivalence,et_t1ce,false,4,brightest,PSO,DP-exact,368,-0.00021531573961407533,-0.001545964133590497,0.0011153326543623466,0.001545964133590497,0.001545964133590497,0,5.450641725344537e-29,3.930197685917588e-196
C-equivalence,et_t1ce,false,4,brightest,QIGOA,DP-exact,368,7.585595424869642e-05,-0.002014938190823927,0.0021666500993213194,0.0021666500993213194,0.0021666500993213194,0,2.69577374282597e-14,3.9982357886439754e-134
C-equivalence,et_t1ce,false,4,brightest,WOA,DP-exact,368,2.6502547617429167e-05,-0.0022327543358123952,0.0022857594310472535,0.0022857594310472535,0.0022857594310472535,0,1.0266306359558507e-12,2.0864121506817877e-124
C-equivalence,et_t1ce,false,4,brightest,random,DP-exact,368,-0.0027140036713294365,-0.005302455160744866,-0.000125552181914007,0.005302455160744866,0.005302455160744866,0,2.4094048166671946e-06,1.511670439244764e-101
C-equivalence,et_t1ce,true,4,brightest,GA,DP-exact,368,0.0006755409275374493,-0.0024150516967065615,0.00376613355178146,0.00376613355178146,0.00376613355178146,0,5.019114353697846e-07,8.159200943330957e-87
C-equivalence,et_t1ce,true,4,brightest,GOA,DP-exact,368,0.004181160361980596,0.0013579093427248654,0.0070044113812363275,0.0070044113812363275,0.0070044113812363275,0,0.00037569779877139113,1.4260445057971045e-88
C-equivalence,et_t1ce,true,4,brightest,GOA-fixed,DP-exact,368,0.00044302625901995946,-0.00045125440530816106,0.00133730692334808,0.00133730692334808,0.00133730692334808,0,4.205622868353557e-51,7.620905724953564e-255
C-equivalence,et_t1ce,true,4,brightest,GWO,DP-exact,368,0.0013238757771291691,-0.0002706494989076389,0.002918401053165977,0.002918401053165977,0.002918401053165977,0,7.583066160136737e-18,3.838945467811561e-167
C-equivalence,et_t1ce,true,4,brightest,MPA,DP-exact,368,0.0008717976695934013,-0.0021271456126462063,0.003870740951833009,0.003870740951833009,0.003870740951833009,0,4.05158574843967e-07,1.4538226013463442e-89
C-equivalence,et_t1ce,true,4,brightest,PSO,DP-exact,368,0.003025727090429967,0.0002799038101019991,0.005771550370757935,0.005771550370757935,0.005771550370757935,0,1.7607220249233608e-05,3.1154431617741886e-94
C-equivalence,et_t1ce,true,4,brightest,QIGOA,DP-exact,368,0.001886928212522775,-0.0002614621753278322,0.0040353186003733825,0.0040353186003733825,0.0040353186003733825,0,6.497646278635177e-10,5.858563703756333e-126
C-equivalence,et_t1ce,true,4,brightest,WOA,DP-exact,368,0.0001904430007963134,-0.0023051997910432938,0.0026860857926359204,0.0026860857926359204,0.0026860857926359204,0,1.4627923044080956e-10,7.50266836146181e-112
C-equivalence,et_t1ce,true,4,brightest,random,DP-exact,368,0.0018014156930055447,-0.0007198188849583545,0.004322650270969444,0.004322650270969444,0.004322650270969444,0,7.284104885339819e-08,8.95403668966845e-107
C-equivalence,wt_flair,false,4,brightest,GA,DP-exact,368,-0.001238910025864924,-0.0035458749572731913,0.0010680549055433431,0.0035458749572731913,0.0035458749572731913,0,5.302310108798421e-10,8.826095232125508e-119
C-equivalence,wt_flair,false,4,brightest,GOA,DP-exact,368,0.0011619139883583566,-0.002161328728072857,0.00448515670478957,0.00448515670478957,0.00448515670478957,0,7.567879583495312e-06,1.8574943544581742e-78
C-equivalence,wt_flair,false,4,brightest,GOA-fixed,DP-exact,368,-0.00020531011099379046,-0.0015432252189908917,0.0011326049970033106,0.0015432252189908917,0.0015432252189908917,0,8.686761269272017e-29,2.2738354105008757e-195
C-equivalence,wt_flair,false,4,brightest,GWO,DP-exact,368,-0.00030741697748220805,-0.0014498301183657803,0.0008349961634013642,0.0014498301183657803,0.0014498301183657803,0,3.0197631142847996e-36,2.6238320087302647e-218
C-equivalence,wt_flair,false,4,brightest,MPA,DP-exact,368,0.00010317587029792661,-0.0012643615966293315,0.0014707133372251849,0.0014707133372251849,0.0014707133372251849,0,2.8856219896735826e-28,1.7192457121859117e-192
C-equivalence,wt_flair,false,4,brightest,PSO,DP-exact,368,-0.0004537207240655013,-0.0019831167046064184,0.0010756752564754159,0.0019831167046064184,0.0019831167046064184,0,2.6774713190135425e-22,1.7696718176474415e-175
C-equivalence,wt_flair,false,4,brightest,QIGOA,DP-exact,368,-0.0007887462248812517,-0.002855608207023551,0.0012781157572610473,0.002855608207023551,0.002855608207023551,0,6.53627046388292e-13,9.370822766660564e-134
C-equivalence,wt_flair,false,4,brightest,WOA,DP-exact,368,0.0008005557430560341,-0.0005259635986426836,0.002127075084754752,0.002127075084754752,0.002127075084754752,0,2.065000558974423e-26,7.260918749188469e-195
C-equivalence,wt_flair,false,4,brightest,random,DP-exact,368,-0.0013337837091852644,-0.003341557073310581,0.0006739896549400519,0.003341557073310581,0.003341557073310581,0,2.9047823047080053e-12,4.594143713407622e-136
C-equivalence,wt_flair,true,4,brightest,GA,DP-exact,368,-0.00046317327793907783,-0.0033007534034825733,0.0023744068476044176,0.0033007534034825733,0.0033007534034825733,0,2.857074283749224e-08,1.8548814846998722e-96
C-equivalence,wt_flair,true,4,brightest,GOA,DP-exact,368,-0.0008379052433045817,-0.0038976447680677093,0.002221834281458546,0.0038976447680677093,0.0038976447680677093,0,6.008955142199114e-07,1.6115838492879318e-87
C-equivalence,wt_flair,true,4,brightest,GOA-fixed,DP-exact,368,-0.00017071888617113876,-0.0012809576879487866,0.0009395199156065091,0.0012809576879487866,0.0012809576879487866,0,1.1014477134953256e-38,5.619535509376212e-223
C-equivalence,wt_flair,true,4,brightest,GWO,DP-exact,368,0.0005784825062885885,0.00015205494342200717,0.0010049100691551698,0.0010049100691551698,0.0010049100691551698,0,2.9032057770042937e-124,0.0
C-equivalence,wt_flair,true,4,brightest,MPA,DP-exact,368,-0.0003031441357523302,-0.0018412530394408002,0.0012349647679361399,0.0018412530394408002,0.0018412530394408002,0,1.163419753197917e-22,4.1844080757585367e-175
C-equivalence,wt_flair,true,4,brightest,PSO,DP-exact,368,-0.0011794654415148158,-0.003018965490312702,0.0006600346072830703,0.003018965490312702,0.003018965490312702,0,1.5606588671056764e-14,5.106296545429487e-148
C-equivalence,wt_flair,true,4,brightest,QIGOA,DP-exact,368,-0.0009185075873066692,-0.0024040574367488877,0.0005670422621355495,0.0024040574367488877,0.0024040574367488877,0,1.4663106907651888e-21,2.91013493362191e-178
C-equivalence,wt_flair,true,4,brightest,WOA,DP-exact,368,0.00033123206996606565,-0.0004670046158067993,0.0011294687557389306,0.0011294687557389306,0.0011294687557389306,0,6.657468957583233e-61,1.2864791787069163e-272
C-equivalence,wt_flair,true,4,brightest,random,DP-exact,368,-0.0016884586335251812,-0.004012433165737573,0.0006355158986872109,0.004012433165737573,0.004012433165737573,0,4.187939574739761e-09,9.38726503982831e-117
